,v,t,p,ws,ws-sd,ghi,ghi-sd
2021-09-10 00:00:00+03:00,0.0,15.27,0.0,1.7,0.6,0.0,0.0
2021-09-10 00:10:00+03:00,0.0,14.93,0.0,1.8,0.6,0.0,0.0
2021-09-10 00:20:00+03:00,0.0,14.69,0.0,0.8,0.5,0.0,0.0
2021-09-10 00:30:00+03:00,0.0,14.89,0.0,1.7,0.6,0.0,0.0
2021-09-10 00:40:00+03:00,0.0,15.16,0.0,1.8,0.6,0.0,0.0
2021-09-10 00:50:00+03:00,0.0,15.37,0.0,1.1,0.5,0.0,0.0
2021-09-10 01:00:00+03:00,0.0,15.2,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:10:00+03:00,0.0,14.94,0.0,0.8,0.4,0.0,0.0
2021-09-10 01:20:00+03:00,0.0,15.0,0.0,0.7,0.4,0.0,0.0
2021-09-10 01:30:00+03:00,0.0,14.98,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:40:00+03:00,0.0,14.66,0.0,0.6,0.3,0.0,0.0
2021-09-10 01:50:00+03:00,0.0,14.52,0.0,0.9,0.4,0.0,0.0
2021-09-10 02:00:00+03:00,0.0,14.36,0.0,0.4,0.2,0.0,0.0
2021-09-10 02:10:00+03:00,0.0,13.71,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:20:00+03:00,0.0,13.18,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:30:00+03:00,0.0,13.06,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:40:00+03:00,0.0,13.19,0.0,0.3,0.0,0.0,0.0
2021-09-10 02:50:00+03:00,0.0,13.33,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:00:00+03:00,0.0,13.73,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:10:00+03:00,0.0,13.88,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:20:00+03:00,0.0,13.89,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:30:00+03:00,0.0,13.88,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:40:00+03:00,0.0,13.78,0.0,0.3,0.0,0.0,0.0
2021-09-10 03:50:00+03:00,0.0,13.79,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:00:00+03:00,0.0,13.98,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:10:00+03:00,0.0,14.1,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:20:00+03:00,0.0,14.28,0.0,0.4,0.2,0.0,0.0
2021-09-10 04:30:00+03:00,0.0,14.29,0.0,0.4,0.2,0.0,0.0
2021-09-10 04:40:00+03:00,0.0,14.17,0.0,0.3,0.0,0.0,0.0
2021-09-10 04:50:00+03:00,0.0,13.76,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:00:00+03:00,0.0,13.65,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:10:00+03:00,0.0,13.72,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:20:00+03:00,0.0,13.7,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:30:00+03:00,0.0,13.8,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:40:00+03:00,0.0,13.71,0.0,0.3,0.0,0.0,0.0
2021-09-10 05:50:00+03:00,0.0,13.67,0.0,0.3,0.0,0.0,0.0
2021-09-10 06:00:00+03:00,0.0,13.76,0.0,0.6,0.4,0.0,0.0
2021-09-10 06:10:00+03:00,0.0,13.94,0.0,0.3,0.0,0.0,0.0
2021-09-10 06:20:00+03:00,0.0,13.79,0.0,0.3,0.0,0.0,0.0
2021-09-10 06:30:00+03:00,0.0,13.66,0.0,0.3,0.0,0.0,0.0
2021-09-10 06:40:00+03:00,0.0,13.7,0.0,0.3,0.0,0.0,0.0
2021-09-10 06:50:00+03:00,0.01,13.68,0.0,0.3,0.0,0.0,0.1
2021-09-10 07:00:00+03:00,0.05,13.62,0.0,0.3,0.0,3.7,2.5
2021-09-10 07:10:00+03:00,0.19,13.72,0.0,0.3,0.0,17.2,5.1
2021-09-10 07:20:00+03:00,0.71,13.92,0.02,0.3,0.0,39.1,7.2
2021-09-10 07:30:00+03:00,1.35,14.54,0.06,0.3,0.0,65.1,3.7
2021-09-10 07:40:00+03:00,1.6,15.07,0.09,0.3,0.0,67.9,2.2
2021-09-10 07:50:00+03:00,1.93,15.21,0.12,0.3,0.0,77.9,5.1
2021-09-10 08:00:00+03:00,2.57,15.64,0.22,0.3,0.0,108.0,15.0
2021-09-10 08:10:00+03:00,3.55,16.71,0.42,0.3,0.0,137.8,6.0
2021-09-10 08:20:00+03:00,4.03,17.55,0.54,0.3,0.0,141.5,8.5
2021-09-10 08:30:00+03:00,5.55,18.04,1.03,0.3,0.1,199.4,10.6
2021-09-10 08:40:00+03:00,6.33,19.12,1.34,0.3,0.1,202.0,4.1
2021-09-10 08:50:00+03:00,7.26,20.3,1.76,0.3,0.1,245.1,27.5
2021-09-10 09:00:00+03:00,10.58,22.37,3.73,0.3,0.0,342.0,32.7
2021-09-10 09:10:00+03:00,13.26,24.91,5.86,0.4,0.2,401.2,16.3
2021-09-10 09:20:00+03:00,13.72,26.05,6.27,0.3,0.1,382.4,50.4
2021-09-10 09:30:00+03:00,14.96,26.54,7.46,0.5,0.3,417.8,13.2
2021-09-10 09:40:00+03:00,16.7,27.51,9.3,0.8,0.5,446.8,9.7
2021-09-10 09:50:00+03:00,17.19,27.51,9.85,0.5,0.3,444.7,17.1
2021-09-10 10:00:00+03:00,17.5,29.49,10.21,0.4,0.2,450.1,5.5
2021-09-10 10:10:00+03:00,18.27,31.43,11.13,0.4,0.2,508.1,23.1
2021-09-10 10:20:00+03:00,18.65,33.13,11.59,0.3,0.1,530.6,37.2
2021-09-10 10:30:00+03:00,19.09,36.49,12.15,0.3,0.1,584.9,5.1
2021-09-10 10:40:00+03:00,19.18,37.43,12.26,0.6,0.5,599.8,2.2
2021-09-10 10:50:00+03:00,19.42,34.61,12.57,0.9,0.5,601.0,2.4
2021-09-10 11:00:00+03:00,19.63,33.25,12.84,0.7,0.5,614.5,7.5
2021-09-10 11:10:00+03:00,19.55,36.78,12.74,0.7,0.5,633.6,6.6
2021-09-10 11:20:00+03:00,19.77,34.73,13.03,0.7,0.5,649.6,4.7
2021-09-10 11:30:00+03:00,19.61,38.89,12.82,0.5,0.4,665.6,8.2
2021-09-10 11:40:00+03:00,19.72,38.38,12.96,1.0,0.6,685.8,4.1
2021-09-10 11:50:00+03:00,19.94,36.12,13.25,0.9,0.5,699.4,3.6
2021-09-10 12:00:00+03:00,19.85,38.54,13.13,0.9,0.6,709.9,3.2
2021-09-10 12:10:00+03:00,19.89,38.48,13.19,1.1,0.7,723.9,4.9
2021-09-10 12:20:00+03:00,19.85,40.28,13.13,0.4,0.3,736.3,3.6
2021-09-10 12:30:00+03:00,19.8,42.01,13.07,1.0,0.6,776.7,22.1
2021-09-10 12:40:00+03:00,19.79,40.94,13.05,0.8,0.6,696.5,125.2
2021-09-10 12:50:00+03:00,19.52,40.43,12.7,0.9,0.7,710.3,74.5
2021-09-10 13:00:00+03:00,20.02,40.56,13.36,1.4,0.9,783.1,26.3
2021-09-10 13:10:00+03:00,19.73,39.78,12.98,1.0,0.7,662.9,110.0
2021-09-10 13:20:00+03:00,19.84,42.37,13.12,0.8,0.6,848.2,12.6
2021-09-10 13:30:00+03:00,19.84,44.2,13.12,1.2,0.7,837.9,9.7
2021-09-10 13:40:00+03:00,19.98,41.14,13.31,1.2,0.7,787.8,27.5
2021-09-10 13:50:00+03:00,19.87,42.28,13.16,1.0,0.7,771.5,5.5
2021-09-10 14:00:00+03:00,19.97,40.9,13.29,1.0,0.6,773.1,1.8
2021-09-10 14:10:00+03:00,19.93,41.72,13.24,1.1,0.8,770.4,8.2
2021-09-10 14:20:00+03:00,20.03,39.97,13.37,1.3,0.6,780.9,13.2
2021-09-10 14:30:00+03:00,19.86,43.37,13.15,1.0,0.9,795.4,10.6
2021-09-10 14:40:00+03:00,20.04,41.33,13.39,1.4,0.8,804.0,8.2
2021-09-10 14:50:00+03:00,20.0,41.23,13.33,1.1,0.7,780.4,10.6
2021-09-10 15:00:00+03:00,19.79,43.62,13.05,0.7,0.5,757.0,4.5
2021-09-10 15:10:00+03:00,17.32,40.74,10.0,1.0,0.8,557.1,219.9
2021-09-10 15:20:00+03:00,19.87,38.12,13.16,1.6,0.9,680.2,46.2
2021-09-10 15:30:00+03:00,19.89,36.19,13.19,1.5,0.9,643.5,65.4
2021-09-10 15:40:00+03:00,19.29,39.4,12.4,0.9,0.8,590.5,110.0
2021-09-10 15:50:00+03:00,19.39,38.93,12.53,0.9,0.6,614.1,44.3
2021-09-10 16:00:00+03:00,17.07,35.55,9.71,2.0,0.8,469.4,148.9
2021-09-10 16:10:00+03:00,19.17,34.29,12.25,1.5,0.7,547.7,92.5
2021-09-10 16:20:00+03:00,16.87,34.82,9.49,1.8,0.6,431.9,169.6
2021-09-10 16:30:00+03:00,17.54,34.88,10.26,0.9,0.6,627.6,110.0
2021-09-10 16:40:00+03:00,19.74,36.5,12.99,2.2,0.8,696.1,23.1
2021-09-10 16:50:00+03:00,19.07,36.25,12.12,1.4,0.8,549.6,119.9
2021-09-10 17:00:00+03:00,17.65,34.45,10.38,2.2,0.9,515.7,62.6
2021-09-10 17:10:00+03:00,13.06,30.87,5.69,2.1,0.8,286.6,96.6
2021-09-10 17:20:00+03:00,10.5,29.19,3.68,1.9,0.7,210.5,84.8
2021-09-10 17:30:00+03:00,10.58,28.16,3.73,1.5,0.7,239.0,60.0
2021-09-10 17:40:00+03:00,9.7,27.88,3.14,1.2,0.7,251.5,74.5
2021-09-10 17:50:00+03:00,12.34,29.29,5.08,1.5,0.7,264.2,55.0
2021-09-10 18:00:00+03:00,9.89,28.48,3.26,1.0,0.6,245.3,19.4
2021-09-10 18:10:00+03:00,9.57,28.53,3.05,1.0,0.6,223.8,10.6
2021-09-10 18:20:00+03:00,7.75,27.89,2.0,1.2,0.5,185.1,11.6
2021-09-10 18:30:00+03:00,6.11,26.99,1.24,1.2,0.5,155.6,7.2
2021-09-10 18:40:00+03:00,4.7,26.34,0.74,1.4,0.5,124.7,9.3
